#### Simulations (1)
# batteryCharge #1
250.213367161695 48.0
250.213367161695 48.0
259.9999999999093 48.0
259.9999999999138 48.0
260.213367161686 47.92
260.213367161686 47.92
269.9999999999005 47.92
269.9999999999051 47.92
270.2133671616772 47.84
270.2133671616772 47.84
279.9999999998917 47.84
279.9999999998965 47.84
280.2133671616684 47.76
280.2133671616684 47.76
289.9999999998829 47.76
289.9999999998879 47.76
290.2133671616596 47.68
290.2133671616596 47.68
299.999999999874 47.68
299.9999999998792 47.68
300.2133671616507 47.6
300.2133671616507 47.6
309.9999999998651 47.6
309.9999999998704 47.6
310.2133671616417 47.52
310.2133671616417 47.52
319.999999999856 47.52
319.9999999998615 47.52
320.2133671616326 47.44
320.2133671616326 47.44
329.999999999847 47.44
329.9999999998526 47.44
330.2133671616236 47.36
330.2133671616236 47.36
339.9999999998377 47.36
339.9999999998436 47.36
340.2133671616144 47.28
340.2133671616144 47.28
349.9999999998287 47.28
349.9999999998347 47.28
350.2133671616053 47.2
350.2133671616053 47.2
359.9999999998195 47.2
359.9999999998257 47.2
360.2133671615962 47.12
360.2133671615962 47.12
369.9999999998106 47.12
369.999999999817 47.12
370.2133671615873 47.04
370.2133671615873 47.04
379.9999999998014 47.04
379.999999999808 47.04
380.2133671615781 46.96
380.2133671615781 46.96
389.9999999997924 46.96
389.9999999997991 46.96
390.213367161569 46.88
390.213367161569 46.88
399.9999999997833 46.88
399.9999999997901 46.88
400.2133671615599 46.8
400.2133671615599 46.8
409.9999999997743 46.8
409.9999999997813 46.8
410.2133671615509 46.72
410.2133671615509 46.72
419.9999999997652 46.72
419.9999999997724 46.72
420.2133671615418 46.64
420.2133671615418 46.64
429.9999999997565 46.64
429.9999999997635 46.64
430.2133671615327 46.56
430.2133671615327 46.56
439.9999999997474 46.56
439.9999999997546 46.56
440.2133671615237 46.48
440.2133671615237 46.48
449.9999999997382 46.48
449.9999999997456 46.48
450.2133671615146 46.4
450.2133671615146 46.4
459.9999999997289 46.4
459.9999999997365 46.4
460.2133671615052 46.32
460.2133671615052 46.32
469.9999999997196 46.32
469.9999999997273 46.32
470.2133671614959 46.24
470.2133671614959 46.24
479.9999999997103 46.24
479.9999999997182 46.24
480.2133671614866 46.16
480.2133671614866 46.16
489.9999999997011 46.16
489.9999999997091 46.16
490.2133671614774 46.08
490.2133671614774 46.08
499.999999999692 46.08
499.9999999997002 46.08
500.2133671614683 46.0
500.2133671614683 46.0
509.9999999996826 46.0
509.9999999996911 46.0
510.213367161459 45.92
510.213367161459 45.92
519.9999999996738 45.92
519.9999999996824 45.92
520.215585340149 45.84
520.215585340149 45.84
529.999999999665 45.84
529.9999999996737 45.84
530.2133671614413 45.76
530.2133671614413 45.76
539.9999999996562 45.76
539.9999999996651 45.76
540.2133671614324 45.68
540.2133671614324 45.68
549.9999999996476 45.68
549.9999999996567 45.68
550.2133671614239 45.6
550.2133671614239 45.6
559.9999999996393 45.6
559.9999999996485 45.6
560.2133671614155 45.52
560.2133671614155 45.52
569.9999999996304 45.52
569.9999999996398 45.52
570.2133671614067 45.44
570.2133671614067 45.44
579.9999999996215 45.44
579.9999999996311 45.44
580.2133671613977 45.36
580.2133671613977 45.36
589.999999999613 45.36
589.9999999996228 45.36
590.2133671613893 45.28
590.2133671613893 45.28
599.9999999996045 45.28
599.9999999996144 45.28
600.2133671613807 45.2
600.2133671613807 45.2
609.9999999995956 45.2
609.9999999996057 45.2
610.2133671613719 45.12
610.2133671613719 45.12
619.9999999995871 45.12
619.9999999995973 45.12
620.2133671613633 45.04
620.2133671613633 45.04
629.9999999995784 45.04
629.9999999995889 45.04
